Year,Province,Technology,Generation_TWh
2030,USN,ThermalPower{Uranium},2.7e-05
2030,USN,ThermalSteam{Coal},5e-06
2030,USN,ThermalSteam{NaturalGas},1.105396
2030,USN,VRE,1.3e-05
2035,CNA,Battery,8.1e-05
2035,CNA,ThermalPowerCCS{Coal},0.0
2035,CNA,ThermalPowerCCS{NaturalGas},0.0
2035,CNA,ThermalPower{Coal},127.583181
2035,CNA,ThermalPower{NaturalGas},1.933317
2035,CNA,ThermalPower{Uranium},0.0
2035,CNA,ThermalSteam{Coal},0.243916
2035,CNA,ThermalSteam{NaturalGas},1.077885
2035,CNA,VRE,0.0
2035,CNB,Battery,0.000232
2035,CNB,ThermalPowerCCS{Coal},0.0
2035,CNB,ThermalPowerCCS{NaturalGas},0.0
2035,CNB,ThermalPower{Coal},0.000183
2035,CNB,ThermalPower{NaturalGas},0.563388
2035,CNB,ThermalPower{Uranium},0.0
2035,CNB,ThermalSteam{Coal},0.139822
2035,CNB,ThermalSteam{NaturalGas},1.191635
2035,CNB,VRE,0.0
2035,DJJ,Battery,8.1e-05
2035,DJJ,ThermalPowerCCS{Coal},0.0
2035,DJJ,ThermalPowerCCS{NaturalGas},0.0
2035,DJJ,ThermalPower{Coal},0.000263
2035,DJJ,ThermalPower{NaturalGas},17.806743
2035,DJJ,ThermalPower{Uranium},0.0
2035,DJJ,ThermalSteam{Coal},0.058137
2035,DJJ,ThermalSteam{NaturalGas},0.604461
2035,DJJ,VRE,0.0
2035,GGI,Battery,8e-05
2035,GGI,ThermalPowerCCS{Coal},0.0
2035,GGI,ThermalPowerCCS{NaturalGas},0.0
2035,GGI,ThermalPower{Coal},0.000285
2035,GGI,ThermalPower{NaturalGas},66.960891
2035,GGI,ThermalPower{Uranium},0.0
2035,GGI,ThermalSteam{Coal},2e-06
2035,GGI,ThermalSteam{NaturalGas},10.417979
2035,GGI,VRE,0.0
2035,GNA,Battery,0.001037
2035,GNA,ThermalPowerCCS{Coal},0.0
2035,GNA,ThermalPowerCCS{NaturalGas},0.0
2035,GNA,ThermalPower{Coal},71.832067
2035,GNA,ThermalPower{NaturalGas},1.937956
2035,GNA,ThermalPower{Uranium},0.0
2035,GNA,ThermalSteam{Coal},0.06307
2035,GNA,ThermalSteam{NaturalGas},2.168036
2035,GNA,VRE,0.0
2035,GNB,Battery,0.002243
2035,GNB,ThermalPowerCCS{Coal},0.0
2035,GNB,ThermalPowerCCS{NaturalGas},0.0
2035,GNB,ThermalPower{Coal},0.000274
2035,GNB,ThermalPower{NaturalGas},22.500237
2035,GNB,ThermalPower{Uranium},0.0
2035,GNB,ThermalSteam{Coal},0.374395
2035,GNB,ThermalSteam{NaturalGas},1.587568
2035,GNB,VRE,0.0
2035,GWN,Battery,0.000161
2035,GWN,ThermalPowerCCS{Coal},0.0
2035,GWN,ThermalPowerCCS{NaturalGas},0.0
2035,GWN,ThermalPower{Coal},21.982339
2035,GWN,ThermalPower{NaturalGas},0.943776
2035,GWN,ThermalPower{Uranium},0.0
2035,GWN,ThermalSteam{Coal},0.0
2035,GWN,ThermalSteam{NaturalGas},1.004959
2035,GWN,VRE,0.0
2035,INC,Battery,8.1e-05
2035,INC,ThermalPowerCCS{Coal},0.0
2035,INC,ThermalPowerCCS{NaturalGas},0.0
2035,INC,ThermalPower{Coal},44.347345
2035,INC,ThermalPower{NaturalGas},3.160777
2035,INC,ThermalPower{Uranium},0.0
2035,INC,ThermalSteam{Coal},0.304606
2035,INC,ThermalSteam{NaturalGas},1.500279
2035,INC,VRE,0.0
2035,JEJ,Battery,0.002505
2035,JEJ,ThermalPowerCCS{Coal},0.0
2035,JEJ,ThermalPowerCCS{NaturalGas},0.0
2035,JEJ,ThermalPower{Coal},0.000162
2035,JEJ,ThermalPower{NaturalGas},3.092991
2035,JEJ,ThermalPower{Uranium},0.0
