"energy_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"natural_gas",2012-01-01,1290440.335,4107000.968,986987.887683333
"oil",2012-01-01,231218.9369,371447.121,126034.819933333
"oil_and_natural_gas",2012-01-01,141700,314612,102883.333333333
"bio_oil_and_diesel",2012-02-01,37402,109871.2,36345.1666666667
"coal",2012-02-01,4272300.7968,9079032.453,4430870.46783333
"natural_gas",2012-02-01,1350572.412,4392169.995,1071159.23983333
"oil",2012-02-01,295653.5245,465464.396,169225.543266667
"oil_and_natural_gas",2012-02-01,143300,315088,118833.333333333
"bio_oil_and_diesel",2012-03-01,40643,114751.5,36700
"coal",2012-03-01,4459446.6731,9283275.27,4467024.18601667
"natural_gas",2012-03-01,1322534.1271,4174276.376,1153517.12061667
"oil",2012-03-01,351323.3206,526119.54,200989.693283333
"oil_and_natural_gas",2012-03-01,142400,317643,122966.666666667
"bio_oil_and_diesel",2012-04-01,35910,103279.5,38843.3333333333
"coal",2012-04-01,3578227.9569,7559439.272,4287862.89301667
"natural_gas",2012-04-01,1156873.2368,3863605.034,1230946.82723333
"oil",2012-04-01,297738.3785,558424.725,245259.83
"oil_and_natural_gas",2012-04-01,210700,425772,148783.333333333
"bio_oil_and_diesel",2012-05-01,39853,114456.1,39366.1666666667
"coal",2012-05-01,3782755.8973,8093215.806,4191828.48785
"natural_gas",2012-05-01,992240.7238,3533317.863,1245562.87263333
"oil",2012-05-01,349784.6853,570036.769,291143.620783333
"oil_and_natural_gas",2012-05-01,164100,401554,159183.333333333
"bio_oil_and_diesel",2012-06-01,37119,102371.6,38934
"coal",2012-06-01,4025548.776,8634073.352,4101499.89238333
"natural_gas",2012-06-01,959120.0022,3246557.734,1178630.13948333
"oil",2012-06-01,445464.5362,634889.038,328530.563666667
"oil_and_natural_gas",2012-06-01,110500,247308,152116.666666667
"bio_oil_and_diesel",2012-07-01,43293,118762.5,39036.6666666667
"coal",2012-07-01,4526947.5926,9359355.259,4107537.94878333
"natural_gas",2012-07-01,956829.1301,3465653.289,1123028.272
"oil",2012-07-01,492534.558,681315.959,372083.167183333
"oil_and_natural_gas",2012-07-01,158600,356358,154933.333333333
"bio_oil_and_diesel",2012-08-01,45227,117896.7,40340.8333333333
"coal",2012-08-01,4745864.0546,9602901.668,4186465.15841667
"natural_gas",2012-08-01,814195.9016,3158147.888,1033632.18693333
"oil",2012-08-01,464762.6565,659252.6,400268.022516667
"oil_and_natural_gas",2012-08-01,105700,231672,148666.666666667
"bio_oil_and_diesel",2012-09-01,28734,96070.6,38356
"coal",2012-09-01,4249920.097,8596426.137,4151544.0624
"natural_gas",2012-09-01,714314.7623,2546676.787,932262.2928
"oil",2012-09-01,129494.9945,211027.146,363296.634833333
"oil_and_natural_gas",2012-09-01,34700,69457,130716.666666667
"bio_oil_and_diesel",2012-10-01,20436,74755.4,35777
"coal",2012-10-01,4110212.2764,8299161.71,4240208.11565
"natural_gas",2012-10-01,892850.9103,2819386.446,888258.571716667
"oil",2012-10-01,341715.1542,397856.265,370626.09745
"oil_and_natural_gas",2012-10-01,110400,246625,114000
"bio_oil_and_diesel",2012-11-01,32534,119564.9,34557.1666666667
"coal",2012-11-01,4566697.9958,8801796.362,4370865.13206667
"natural_gas",2012-11-01,1364431.3305,4165598.727,950290.3395
"oil",2012-11-01,473172.1603,634001.414,391190.676616667
"oil_and_natural_gas",2012-11-01,130900,315079,108466.666666667
"bio_oil_and_diesel",2012-12-01,30674,114402.2,33483
"coal",2012-12-01,5115975.5322,9678050.202,4552602.92476667
"natural_gas",2012-12-01,1571799.4885,4975764.31,1052403.58721667
"oil",2012-12-01,451504.6077,658334.868,392197.3552
"oil_and_natural_gas",2012-12-01,163700,363421,117333.333333333
"bio_oil_and_diesel",2013-01-01,30422,114621.7,31337.8333333333
"coal",2013-01-01,4921233.7353,9674152.326,4618317.28188333
"natural_gas",2013-01-01,1472113.3375,4643486.093,1138284.28845
"oil",2013-01-01,447829.2225,619352.016,384746.46595
"oil_and_natural_gas",2013-01-01,136500,263015,113650
"bio_oil_and_diesel",2013-02-01,25858,97498.1,28109.6666666667
"coal",2013-02-01,4481327.7259,8570823.133,4574227.89376667
"natural_gas",2013-02-01,1225985.6761,3897331.394,1206915.91753333
"oil",2013-02-01,271881.7525,489384.528,352599.648616667
"oil_and_natural_gas",2013-02-01,131900,249324,118016.666666667
"bio_oil_and_diesel",2013-03-01,29713,111255.1,28272.8333333333
"coal",2013-03-01,5033525.5232,9568213.719,4704828.79813333
"natural_gas",2013-03-01,1128287.1844,3797195.286,1275911.32121667
"oil",2013-03-01,249933.8455,497828.467,372672.79045
"oil_and_natural_gas",2013-03-01,107800,193741,130200
"bio_oil_and_diesel",2013-04-01,30594,112048.1,29965.8333333333
"coal",2013-04-01,4283029.8788,7889353.61,4733631.73186667
"natural_gas",2013-04-01,873878.3133,3631239.856,1272749.22171667
"oil",2013-04-01,454901.6232,663971.441,391537.20195
"oil_and_natural_gas",2013-04-01,210000,422179,146800
"bio_oil_and_diesel",2013-05-01,32193,113985.6,29909
"coal",2013-05-01,4505714.4665,8246282.949,4723467.81031667
"natural_gas",2013-05-01,1015377.6023,3690869.264,1214573.60035
"oil",2013-05-01,320083.2504,396781.072,366022.383633333
"oil_and_natural_gas",2013-05-01,163600,317668,152250
"bio_oil_and_diesel",2013-06-01,30729,106508.8,29918.1666666667
"coal",2013-06-01,4887481.3408,9128146.414,4685385.44508333
"natural_gas",2013-06-01,989439.2259,3747220.801,1117513.55658333
"oil",2013-06-01,432072.314,622673.312,362783.668016667
"oil_and_natural_gas",2013-06-01,171600,312081,153566.666666667
"bio_oil_and_diesel",2013-07-01,35127,119836.5,30702.3333333333
"coal",2013-07-01,5306044.2429,9662293.187,4749520.52968333
"natural_gas",2013-07-01,1067263.5667,3995209.369,1050038.59478333
"oil",2013-07-01,504660.168,714672.419,372255.492266667
"oil_and_natural_gas",2013-07-01,219800,408852,167450
"bio_oil_and_diesel",2013-08-01,35529,123130.6,32314.1666666667
"coal",2013-08-01,5288712.1684,9424518.099,4884084.60343333
"natural_gas",2013-08-01,1027088.4354,3825835.331,1016889.05466667
"oil",2013-08-01,502048.6564,710850.623,410616.642916667
"oil_and_natural_gas",2013-08-01,206900,412802,179950
"bio_oil_and_diesel",2013-09-01,25776,88536.8,31658
"coal",2013-09-01,4710523.1024,8505864.678,4830250.86663333
"natural_gas",2013-09-01,878380.7247,3030596.466,975237.97805
"oil",2013-09-01,234807.3094,312589.299,408095.553566667
"oil_and_natural_gas",2013-09-01,87200,165934,176516.666666667
"bio_oil_and_diesel",2013-10-01,26745,91178,31016.5
"coal",2013-10-01,4559481.4132,8219376.047,4876326.12236667
"natural_gas",2013-10-01,1086121.3504,3736697.786,1010611.81756667
"oil",2013-10-01,458879.0337,671713.788,408758.455316667
"oil_and_natural_gas",2013-10-01,159300,307961,168066.666666667
"bio_oil_and_diesel",2013-11-01,31442,115408.3,30891.3333333333
"coal",2013-11-01,4614910.4768,8352379.538,4894525.45741667
"natural_gas",2013-11-01,1381290.3491,4512102.151,1071597.27536667
"oil",2013-11-01,423074.1908,610821.028,425923.61205
"oil_and_natural_gas",2013-11-01,162700,312867,167916.666666667
"bio_oil_and_diesel",2013-12-01,31587,118073.9,31034.3333333333
"coal",2013-12-01,4979297.7535,9577517.84,4909828.19286667
